id,text,text_clean,language,category,is_scam,risk_level,ground_truth_label,source,version,extracted_entities,annotation_notes,created_at,updated_at
GOLD_UPI_FRAUD_0001,Your GPay account has been blocked due to multiple failed attempts. Recover here: http://gpay-help.xyz,your gpay account has been blocked due to multiple failed attempts. recover here: http://gpay-help.xyz,en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0002,"UPI transaction of Rs 7,450 to unknown beneficiary detected from your PhonePe. Reverse? Share OTP 871234.","upi transaction of rs 7,450 to unknown beneficiary detected from your phonepe. reverse? share otp 871234.",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0003,BHIM app update required: Your UPI services will stop in 24 hours. Update via http://bhim-update.in,bhim app update required: your upi services will stop in 24 hours. update via http://bhim-update.in,en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0004,"Paytm UPI: You received Rs 25,000 from an unknown sender. Click to accept or return: http://paytm-claim.tk","paytm upi: you received rs 25,000 from an unknown sender. click to accept or return: http://paytm-claim.tk",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0005,"Your UPI PIN was changed from a new device. If not you, block here: http://upi-secure.xyz","your upi pin was changed from a new device. if not you, block here: http://upi-secure.xyz",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0006,"Amazon Pay UPI: Cashback reward of Rs 10,000 unlocked. Claim at http://amazon-pay-reward.xyz","amazon pay upi: cashback reward of rs 10,000 unlocked. claim at http://amazon-pay-reward.xyz",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0007,"Tez UPI collect request from merchant 'ShopEasy': Rs 12,500. Approve? Reply Y or ignore.","tez upi collect request from merchant 'shopeasy': rs 12,500. approve? reply y or ignore.",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0008,PhonePe UPI limit increased to Rs 2 lakh. Activation fee Rs 99: http://phonepe-upgrade.tk,phonepe upi limit increased to rs 2 lakh. activation fee rs 99: http://phonepe-upgrade.tk,en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0009,"UPI auto-pay mandate set for Rs 5,000 monthly to QuickLoan. Cancel at http://cancel-mandate.xyz","upi auto-pay mandate set for rs 5,000 monthly to quickloan. cancel at http://cancel-mandate.xyz",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_UPI_FRAUD_0010,"Your BHIM UPI account is credited with Rs 5,000. Thanks for using Digital India!","your bhim upi account is credited with rs 5,000. thanks for using digital india!",en,UPI_FRAUD,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for UPI_FRAUD.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
GOLD_KYC_SCAM_0011,SBI KYC warning: Your account will be frozen within 48 hours. Update KYC: http://sbi-kyc-update.xyz,sbi kyc warning: your account will be frozen within 48 hours. update kyc: http://sbi-kyc-update.xyz,en,KYC_SCAM,True,HIGH,scam,gold_evaluation,1.0.0-gold,{},Gold evaluation sample for KYC_SCAM.,2026-07-30T11:02:16.779Z,2026-07-30T11:02:16.779Z
